user_id,items_count,total_spent,recommend
0136849195,62.0,133.91,100.0
01398279857934,11.0,14.99,
018302,42.0,507.6700000000002,
01shan,5.0,24.98,100.0
0212030,7.0,104.94999999999999,
022899,80.0,1163.3800000000003,100.0
0248359,10.0,223.88,
025652,3.0,0.0,
0271975108,62.0,694.6700000000002,
0305089,97.0,587.5500000000002,
03092002,24.0,255.89000000000001,100.0
03375616256,2.0,9.99,
0402593613,6.0,19.98,
04061993,214.0,1019.3000000000009,100.0
04092013,128.0,622.0800000000003,100.0
041112016,98.0,1379.2600000000004,
0412734634,20.0,59.96,100.0
0412827540,27.0,149.9,
042153100,118.0,1547.2100000000005,50.0
0421874858,31.0,342.79,
04280122,113.0,1265.1500000000003,100.0
0432-026-no,14.0,79.92999999999999,100.0
04536829290339393838,28.0,130.89,
0468313256,86.0,99.87999999999998,100.0
0488456,22.0,249.86000000000004,
05041129,35.0,138.89,67.0
05461025,53.0,560.5900000000003,100.0
05511301,159.0,1582.720000000001,
05zhehan,16.0,89.94999999999999,
066600,72.0,468.80000000000007,
0700464574757,48.0,383.72000000000014,100.0
07846813956825,92.0,1156.3100000000004,0.0
0800135723,1.0,0.0,
0814551,48.0,176.88,
0827777,11.0,0.99,
0833422708,1.0,0.0,
0854029092,5.0,19.99,100.0
0862770364,23.0,148.92000000000002,
0896398616,184.0,1124.6800000000005,100.0
0898786879898,7.0,69.96,
08alross,313.0,4160.6399999999785,
0903512455,41.0,199.85,100.0
09106,176.0,1212.0700000000006,100.0
091263,369.0,3098.5899999999833,100.0
092688110,1.0,0.0,
092982943,28.0,94.92999999999999,
0935659130,59.0,471.7500000000001,
094553552,89.0,694.5400000000002,100.0
095732,30.0,179.86,67.0
095843067,239.0,2705.5699999999915,100.0
098765432108642,12.0,179.91,
09876543231,25.0,215.83000000000004,100.0
098766catdogbnmnnn,42.0,227.84000000000003,100.0
09895749373554,33.0,345.74000000000007,
0996633,56.0,606.6900000000002,
0FI3MWAJS2849023N,36.0,336.7700000000001,
0fficiaIfIaw,23.0,38.97,
0nlyb0nes,22.0,224.91000000000005,
0rangeZ3r0,29.0,143.88,
0x0B00B135,59.0,505.61000000000024,
0x426F,149.0,1733.8200000000008,
1-800-Invisible,536.0,5846.97999999994,
10000000thVisitor,106.0,1105.1800000000005,100.0
1000000sdsd,22.0,59.96,
100002077293140,1.0,0.0,
100011101011,31.0,347.84000000000003,
1000jaus,50.0,642.6400000000002,
1001101001110101,286.0,3403.5999999999844,0.0
100355,50.0,524.6600000000001,
10051997,130.0,1254.1600000000003,100.0
10101010101010109,307.0,3769.0699999999815,100.0
101010101111,42.0,382.80000000000007,100.0
101010102,8.0,70.93,
1010102,45.0,223.85000000000002,
101013483181348,7.0,14.99,
1010231464,9.0,44.97,
1011001,128.0,1228.1600000000005,90.0
1011010101101101010101,52.0,644.5200000000002,
1011012001,14.0,49.96,
101316,21.0,254.84000000000003,
1016523030,6.0,0.0,100.0
101676057,29.0,270.86,
10197226,36.0,276.7300000000001,100.0
101thegreenguy,98.0,1277.5900000000004,
102547508,13.0,24.979999999999997,
102598615,45.0,166.85,100.0
1032165460,7.0,64.95,
1052218979baidu,21.0,242.86000000000007,
10817,38.0,339.7900000000001,
109284293753647,150.0,1842.9000000000008,
10936543792,109.0,1038.2400000000005,100.0
10948278193,31.0,69.96,
109654,1.0,0.0,
109leonidas,178.0,1841.8600000000008,
10Degree,150.0,1323.0400000000006,100.0
10gp,21.0,169.89,
10outof10matee,56.0,604.6200000000002,
10oyard,20.0,209.88000000000002,100.0
11010011011,140.0,1617.9900000000007,
1101167413,42.0,533.6500000000001,
110211021,73.0,488.6200000000002,50.0
110321565469,76.0,822.9800000000004,
1103703132946,65.0,727.5400000000003,100.0
111190869,62.0,803.5500000000002,100.0
111222333222111,28.0,279.82000000000005,
111222333444555666888,52.0,580.6800000000002,86.0
11123xxx3122,10.0,59.95,
11124,44.0,445.70000000000016,0.0
11141995,47.0,571.5700000000002,
111s,242.0,2286.209999999999,
111zerosen,65.0,419.52000000000015,100.0
1122305938,177.0,2394.739999999997,75.0
112asdasfasdasd,23.0,0.0,100.0
11345678,34.0,252.85000000000005,
113595,76.0,1064.4000000000003,100.0
1136579070,82.0,686.5900000000003,100.0
11464789,37.0,306.7800000000001,
11567jj,102.0,466.7400000000001,100.0
1163321,56.0,361.81000000000006,
117007,15.0,129.92,
117331,67.0,346.74000000000007,100.0
117a2,11.0,119.92999999999998,
117arbiter,166.0,1665.4800000000007,100.0
11925219096,70.0,727.6000000000001,100.0
119922883377446655123456789,60.0,268.81000000000006,0.0
11XGX,215.0,2705.2999999999925,50.0
12021988,3.0,0.0,
120445,120.0,935.7700000000004,100.0
120488700,21.0,264.92,100.0
12110604,16.0,194.89000000000001,
1212343456567878909,33.0,340.82000000000005,100.0
12123871234989120,33.0,147.88,
12125,126.0,1352.1600000000005,100.0
1214551565454556,4.0,0.0,
121478,129.0,1634.1800000000005,
121598558,9.0,0.0,
12223536,177.0,2115.87,50.0
122249_700b,38.0,318.7400000000001,
122799,17.0,54.97,
123123123131231231,43.0,295.87,100.0
12312312332123,31.0,210.85000000000002,100.0
12312341244123,50.0,524.7600000000001,
1231343263534243534,48.0,540.6500000000002,
123232343432555686888554456555,65.0,628.6600000000002,100.0
1232999,64.0,732.6700000000002,
12332165478953761,59.0,763.5100000000002,100.0
1233451231252123,77.0,204.91000000000003,
1233zaazen,33.0,390.80000000000007,
12341008,3.0,14.99,
12341846,28.0,301.77,100.0
1234321115,46.0,524.6800000000002,
1234455565,2.0,19.99,
12345123456,33.0,312.82000000000005,
1234567124567,38.0,444.7500000000001,
12345676543456789098543,73.0,442.70000000000016,100.0
1234567810132,48.0,144.84999999999997,100.0
123456787654329,131.0,1587.9100000000005,
12345678901234567890123456567890,206.0,2874.359999999992,86.0
1234567890192837465,98.0,865.5100000000002,100.0
1234567890qweccrtht,41.0,377.7900000000001,
1234567890qwertyuiop,4.0,34.98,
12345678910123,2.0,4.99,
12345678910a,81.0,1168.3900000000003,100.0
1234567898354127873,10.0,44.95,
123456789874561232145678,269.0,2852.079999999989,100.0
123456789_Kappa,37.0,410.25000000000006,
123456789diamond987654321,71.0,705.5300000000003,100.0
1234567io9872345678765432,155.0,1361.0700000000006,88.0
12345gh,17.0,204.92000000000002,
1234865654,76.0,463.64000000000016,100.0
1234derpaa,44.0,434.73000000000013,
12391939123,124.0,839.8900000000003,100.0
12398uf8jg21390,35.0,312.77000000000004,100.0
12399017,25.0,160.83,
123abc321,2.0,0.0,
123abccba,91.0,1035.4000000000003,
123amazing123,48.0,320.84000000000003,
123curssin123,52.0,409.81000000000006,
123franz789,15.0,54.97,
123joshua321,87.0,945.2900000000004,100.0
123repulseMe,137.0,1097.2400000000005,100.0
123sharpshooter123,2.0,0.0,
1242163634531636,2.0,9.98,
12435674325tyughnb,43.0,480.72000000000014,
12435gg,107.0,487.68000000000006,
124653tf,8.0,129.97,
124681,3.0,19.99,
1249012512908890112890,75.0,750.0700000000003,
124c7937,2.0,0.0,
12524,81.0,298.80000000000007,
12536475869trhgsdf,99.0,559.4600000000003,100.0
12549,64.0,228.86999999999998,
12779,105.0,797.4700000000003,80.0
128463821947,10.0,69.97,
12874175635ELITE,2.0,4.99,
128bitbit,81.0,144.9,
1294120970512,49.0,515.6700000000002,
129874182,155.0,1775.6600000000008,100.0
12DeAgostoAs12HRSe26MIN,35.0,280.78000000000003,100.0
12_gauge_org,48.0,292.88,100.0
12das,20.0,44.96,100.0
1300655506nigga,41.0,312.7200000000001,100.0
13012,128.0,1357.2000000000005,
131312,135.0,1742.8300000000006,78.0
1313Lcf,144.0,2007.8500000000008,
131467132,56.0,453.7600000000001,100.0
13199708,139.0,1903.8900000000008,
1321742413,66.0,243.84000000000003,80.0
132413244231,43.0,376.7600000000001,
13272310,28.0,84.97,
13371337133713337,18.0,144.96,
133742069174,95.0,1033.5000000000002,100.0
1337666133766613376661337,113.0,1397.1300000000003,100.0
133774553644535355354,5.0,9.99,
1337Akraken,110.0,1153.3400000000004,0.0
1337_K_REW,38.0,84.94999999999999,100.0
1337_Speak,269.0,2630.129999999988,
1337hunter,67.0,618.4000000000003,100.0
1337leetSloth,3.0,39.97,
1337lolroflmao,197.0,1961.7900000000009,100.0
1337mlg,103.0,495.54000000000025,
1337putin,91.0,1834.0200000000004,100.0
1343534566,23.0,227.85000000000002,100.0
13457856281,42.0,317.7600000000001,100.0
1345adfg,8.0,0.0,
134679jc333,17.0,64.95,
135781,63.0,913.4400000000003,88.0
1373648137417,176.0,1623.9500000000007,
137731251236671466147,371.0,5294.2099999999655,
13971397,222.0,2844.4099999999944,100.0
1398199813,3.0,9.99,
13lazer,398.0,5578.279999999959,100.0
13omadragon,33.0,224.88000000000002,
13salva,61.0,598.6100000000002,
1408129010,31.0,244.89000000000001,
142331415,179.0,1715.640000000001,
142412412124142,3.0,0.0,
14372193,111.0,344.81000000000006,100.0
143865,62.0,419.7600000000001,
1440454,70.0,638.5800000000003,100.0
144289919655093823,48.0,512.6300000000001,
1452221660414,140.0,1689.9300000000005,100.0
14528910,1.0,0.0,
1454235887,3.0,0.0,
145578,94.0,1030.9500000000003,100.0
1456237,34.0,412.74000000000007,
1457184935981,27.0,172.88000000000002,100.0
146847798098,29.0,49.97,
14725836900,17.0,134.91,100.0
14747,180.0,1896.570000000001,
147532984,99.0,924.5000000000003,100.0
147751,12.0,202.86,
14789633698741,348.0,4572.109999999972,
148203604,7.0,0.0,
150010792,113.0,156.84,100.0
150230,152.0,1886.600000000001,
1513412123111331,17.0,147.85,
151995,41.0,134.91,
1522188745,83.0,547.6200000000002,
1540359,14.0,75.96000000000001,
154352,87.0,444.72,75.0
1546328127418,27.0,329.88000000000005,50.0
154930493,38.0,427.82000000000005,100.0
15511551,156.0,1123.0900000000006,100.0
155754572,21.0,114.92999999999999,
15632897,255.0,3256.089999999991,
157645,487.0,4856.6999999999525,100.0
15832789427,102.0,1090.4800000000002,100.0
1591240764,101.0,377.00000000000034,
15934,124.0,1699.1200000000006,100.0
159zse159,377.0,5034.749999999963,100.0
1607426135,14.0,39.96,
1626466724893520,64.0,584.6800000000002,100.0
163050995,13.0,0.0,100.0
16362426247,68.0,528.6000000000003,
16395,11.0,59.959999999999994,
16538,138.0,2497.719999999998,100.0
16748438,21.0,274.88,
169420666,53.0,327.7300000000001,100.0
17-04-2000,90.0,557.6700000000002,
17101710,134.0,1467.8200000000006,89.0
1711338513531,28.0,210.85000000000005,
171516,196.0,1561.9600000000007,83.0
1726432,12.0,189.96,
17291799,19.0,154.92,100.0
172954833,24.0,0.0,
173902,2.0,9.99,
1739902091026,79.0,266.8,100.0
174561864923145,51.0,457.71000000000015,
174gamecuman700kngkakak,159.0,1329.200000000001,100.0
17731773,47.0,310.7100000000001,
177652,24.0,494.76000000000005,
17829463213,69.0,424.80000000000007,100.0
1800-Ricohut,121.0,1019.3100000000005,83.0
1800FkMyVajj,7.0,14.99,
18023009,2.0,14.99,
180577,66.0,583.5800000000002,100.0
18082001,105.0,685.2700000000004,100.0
18228272828,153.0,1637.1100000000006,100.0
182748927838783778382,21.0,120.89999999999998,
182828282,44.0,484.70000000000016,
18283848,72.0,976.4900000000004,
1829369648,2.0,0.0,
18481,154.0,2134.78,100.0
1850172512752815,28.0,147.41,100.0
18504965711,80.0,1046.4400000000003,
1859082899,17.0,68.94999999999999,
186038013,1.0,0.0,
1870380085,43.0,298.7900000000001,
1873410337,39.0,384.82000000000005,89.0
1875489156748,52.0,386.73000000000013,100.0
187625,121.0,395.62000000000023,67.0
18855881,204.0,3013.139999999993,
1889999999999999,35.0,249.91000000000003,100.0
19-20-5-20-27-5-18,32.0,154.88,100.0
190120001826,2.0,0.0,
1920410,87.0,1099.4200000000003,0.0
19210801,51.0,220.85000000000002,
1922001,94.0,510.10000000000014,100.0
1930234,82.0,591.6900000000002,
19365,103.0,1421.1500000000005,
19372250,137.0,1963.8900000000008,100.0
1937648259137856lkjnoik,9.0,44.959999999999994,
1944086851,14.0,64.95,100.0
1947CARROTS,26.0,104.92999999999998,
194847383,135.0,954.3200000000003,100.0
1956aa1,113.0,1587.4200000000005,50.0
195862,69.0,625.6400000000001,100.0
19702316748,94.0,942.3000000000004,
19720911,5.0,0.0,
19820182123,13.0,169.94,
1994dbc,207.0,2084.7199999999993,100.0
1997-07-06_J077,7.0,29.979999999999997,
19990923,41.0,229.90000000000003,100.0
199A,27.0,138.91,
19te_Polska,70.0,984.4200000000004,100.0
1BUCK80,32.0,329.86000000000007,
1GN33L,20.0,224.88000000000005,
1MLG2U,59.0,350.5700000000002,100.0
1NFR33,196.0,1943.9000000000008,100.0
1R1M1,52.0,323.7400000000001,33.0
1UK33Y,30.0,359.7800000000001,
1_Taipan,25.0,361.83000000000004,
1a1u14,76.0,365.74000000000007,100.0
1dog636,104.0,1042.2300000000005,
1epicninja,91.0,994.4300000000004,100.0
1iam1iam1iam,70.0,804.6900000000002,100.0
1jamesn4,82.0,930.4000000000003,100.0
1qaz2wwx010,23.0,44.97,
1silentsniper1,319.0,3637.869999999982,100.0
1snap,179.0,1978.5200000000011,86.0
1stBLUE-COW,52.0,342.7700000000001,100.0
1stpionpaul,162.0,2066.690000000001,100.0
1sttperson,42.0,379.7700000000001,
1v1meguy,245.0,3240.769999999989,100.0
1v1meinclubpenguinscrub,28.0,334.81000000000006,
1v1mim8,70.0,658.5500000000002,
2000jtc,60.0,688.6500000000002,
2001911,4.0,9.99,
200220006,139.0,1835.0100000000007,100.0
20041213,27.0,19.98,67.0
200719917302,59.0,799.6100000000002,
200px-spy-taunt-laugh,18.0,69.94999999999999,100.0
2011368123,252.0,3115.009999999987,100.0
20115011,4.0,9.99,
205723552,15.0,29.979999999999997,
2080308,85.0,722.4700000000004,100.0
2092000666,31.0,165.86,100.0
210519992016,84.0,593.5900000000001,20.0
21072013,21.0,39.98,
211011374,32.0,529.7700000000001,100.0
21129393,9.0,34.97,
2114521846341684,13.0,149.91,
2121312,17.0,34.97,
2125125126,6.0,34.97,
212blair212,17.0,104.91999999999999,
213123123132,200.0,460.6600000000001,
21321112399,13.0,189.91,
2139093311,7.0,9.99,
215251,35.0,312.83000000000004,
216712138,92.0,883.5400000000003,100.0
218939137821738213127983,92.0,602.6000000000001,
219121912191,13.0,44.97,
21lord21drag,5.0,59.97,
22109203,98.0,672.1000000000003,
222081994,26.0,310.87000000000006,
2222224444555985,35.0,204.90000000000003,
2222455,131.0,1445.8800000000006,100.0
2233dog15,17.0,265.89,
22491987,51.0,307.8300000000001,
22502250,77.0,877.5600000000003,100.0
225544,72.0,774.5000000000003,67.0
225555,17.0,195.89000000000001,100.0
226rep,10.0,159.94,
2271531450,25.0,89.89999999999999,100.0
2293371488,47.0,225.29000000000008,
23012003,18.0,94.93999999999998,100.0
231091,184.0,2650.5799999999963,100.0
2311985201258745633313,37.0,371.82000000000005,
231321455,60.0,274.82000000000005,100.0
23142433253545,122.0,1249.2400000000005,
23184798,32.0,97.90999999999998,100.0
2323534545,158.0,1299.0600000000006,71.0
233433,8.0,22.979999999999997,
2342526,52.0,624.6500000000002,
23434454365463446754546576e45646,99.0,756.4500000000004,100.0
2345XXXXX,52.0,313.7400000000001,
234671,28.0,149.88,
235269,88.0,1125.7400000000002,100.0
235324234732,27.0,255.76000000000005,
2364786499,49.0,609.5200000000002,100.0
23745736,74.0,418.7900000000001,100.0
2378695,2.0,34.98,
2390746539217,23.0,360.86000000000007,100.0
23974656456,84.0,714.5500000000003,100.0
2398,22.0,226.6200000000001,
23Batman05,145.0,1337.1400000000006,100.0
23jesus23,70.0,619.6400000000002,
24045681579016271,15.0,29.97,
24101738,34.0,59.99,100.0
243567890,7.0,44.97,
2435689,76.0,651.5100000000002,
2435764824567835,26.0,149.89999999999998,
24453,74.0,1105.5000000000002,67.0
2448531,80.0,387.6200000000002,100.0
24532453,134.0,1176.2800000000004,
24596,121.0,819.8100000000005,100.0
24681256447,11.0,67.95,
246823,25.0,265.85,100.0
247211,154.0,1469.7500000000007,100.0
2479742,106.0,1355.3300000000004,100.0
248392584,7.0,30.96,
248482,277.0,2826.3899999999912,
24862345243,49.0,696.6400000000002,
24902,45.0,427.7800000000001,
249758,181.0,3298.3299999999936,100.0
24BallerJK,9.0,39.97,
24CmRuler,77.0,858.5000000000002,
25050,99.0,905.3500000000003,100.0
25061841,15.0,170.89000000000001,
25230405,98.0,989.3900000000003,100.0
25231341243,34.0,218.84,
2539428377924,106.0,822.4900000000004,
256565,18.0,183.89000000000001,
2571,690.0,8266.069999999912,100.0
259987556434546,121.0,1118.6800000000005,
25_Years_Since_Freddie,30.0,309.81000000000006,86.0
26070,36.0,475.7300000000001,100.0
2608739,5.0,24.98,100.0
26292919,94.0,590.6100000000002,
2647891,8.0,39.97,100.0
2688789326887893,73.0,245.88000000000002,
269485,284.0,3811.539999999976,
27073108,106.0,1223.3900000000003,50.0
27601MCM,58.0,304.78000000000003,100.0
27649735,2.0,0.0,
2768820078,91.0,1550.2600000000004,80.0
279519365,127.0,1103.2800000000002,100.0
27dnguyen,29.0,226.7700000000001,
28019769,124.0,2258.6899999999982,
2826,7.0,110.94,
2891723967123,160.0,2023.6300000000008,71.0
28yelkco,32.0,219.84000000000003,
29017637452801,86.0,496.54000000000025,100.0
291129112911291129112911,68.0,489.65000000000015,100.0
29123,18.0,119.92999999999998,80.0
2933725,2.0,0.0,
2987654235,8.0,15.98,
29998000,46.0,264.83000000000004,100.0
2Chill,122.0,1194.0600000000006,100.0
2Degrees,82.0,1138.4300000000003,100.0
2EzRogueDH,12.0,99.96000000000001,100.0
2JZEEEEBABY,61.0,877.5400000000002,100.0
2Lethal,117.0,1282.0700000000004,100.0
2Ryo2Know,29.0,217.85000000000002,
2Ta4,362.0,3401.219999999975,67.0
2ZESTY4ME,82.0,420.7500000000001,50.0
2amigosupremos753,1.0,0.0,
2cq,898.0,9230.619999999877,
2d4nk4m3,160.0,697.3600000000005,50.0
2edgy4youboi,84.0,790.4800000000004,100.0
2ez2xl,79.0,726.4900000000004,100.0
2ez4medick,32.0,382.74,100.0
2fast4u271,39.0,256.7600000000001,
2g00d4u,14.0,100.92000000000002,
2greasy,33.0,452.51000000000016,
2ik4tf,22.0,165.86,100.0
2kewl4you,9.0,19.99,
2lstgun,31.0,237.84000000000003,100.0
2matoe,24.0,150.87,
2muchred,149.0,1661.8400000000008,
2nerdssemvida,101.0,187.79000000000005,100.0
2pac_Skai,1.0,0.0,
2pacisaliveincuba,303.0,3525.37999999998,100.0
2ptwisted,18.0,131.94,
2red12,151.0,1778.9500000000007,100.0
2sBs,219.0,2482.369999999997,100.0
2sd31,11.0,170.9,100.0
2seggy4um8havalook,10.0,54.97,
2she,57.0,488.57000000000016,
2sneaky5u,291.0,3141.849999999983,100.0
2spookis,199.0,1617.4200000000008,100.0
2spooky,323.0,3901.9599999999787,83.0
2unimaginative4u,23.0,40.96,
2v1meyoucheekyscrub,42.0,559.7500000000001,100.0
2xDelorean,55.0,439.70000000000016,100.0
30035115,97.0,1353.2700000000004,
300799,14.0,24.98,
30102000,1.0,0.0,
30102002,33.0,167.32999999999998,100.0
3021Daniel,105.0,1371.2300000000005,100.0
3038070,5.0,34.98,
3046123,70.0,848.6000000000003,100.0
305010,67.0,882.5200000000003,
30699,29.0,214.91000000000003,
30XxPikachuxX03,3.0,0.0,
313134,378.0,4559.799999999963,
314155156915923,36.0,248.7600000000001,100.0
31456576727471577757175717,21.0,39.97,
31575,73.0,184.79999999999998,100.0
317733235,58.0,345.73000000000013,50.0
317984739321,75.0,472.71000000000015,100.0
317jim,15.0,14.99,
318941651,42.0,270.81,
3197,44.0,467.6700000000002,75.0
320RustPro,11.0,29.97,100.0
3214213216,107.0,224.19000000000014,100.0
321541,26.0,253.81000000000003,
3218998529,2.0,19.98,
3265899423,66.0,437.70000000000016,
326759263846544,294.0,1869.430000000001,50.0
329838102,19.0,49.959999999999994,67.0
32bitmaximus,79.0,1115.2900000000004,100.0
33275,9.0,69.94999999999999,
3333322,1.0,0.0,
333333259,15.0,129.93,
33334scat,59.0,432.7600000000001,100.0
333666333111,24.0,245.86000000000004,
333hab,234.0,2440.2799999999966,100.0
33442,7.0,14.99,100.0
334756875,111.0,610.4900000000002,60.0
34234252sd,16.0,49.97,
3423523425433425,118.0,1553.0900000000006,100.0
343221221,52.0,586.5000000000001,100.0
34324132,41.0,596.6800000000001,100.0
343574890,27.0,226.87000000000003,
34383536,14.0,117.41999999999999,
343rox,18.0,190.88,
34451,1.0,0.0,
3456457568,90.0,715.5900000000003,
34565754,28.0,384.84000000000003,
3456669133723,9.0,49.96,
345675,180.0,2276.669999999998,100.0
34568535890075433578,44.0,527.7600000000001,
34573671264yi,92.0,639.5600000000002,100.0
345827357205098,31.0,199.87,
3496148694969,132.0,1664.3800000000008,
350176,32.0,240.85000000000002,
350241,184.0,2260.999999999999,100.0
352039981386723,30.0,384.7700000000001,
3523436346,99.0,1243.2300000000005,100.0
35353534,29.0,281.82000000000005,100.0
35475,161.0,2223.22,100.0
3548548564856498484894,149.0,1821.8700000000006,83.0
3565Jason,22.0,179.91,100.0
36033,32.0,171.84,
360NoScopeMLGBLAZEGirlGamer69,10.0,84.94,
360j1mmy,314.0,3989.4799999999764,100.0
3635,101.0,374.7100000000001,
363997099,8.0,59.97,
36864,22.0,333.7800000000001,50.0
369231461278416,127.0,819.5500000000003,100.0
36_T,259.0,3382.5699999999842,89.0
373848099,99.0,798.5300000000003,100.0
37755753,136.0,1796.9100000000008,80.0
378366354,69.0,621.6700000000002,
37891266723,144.0,1406.1500000000005,
380012,16.0,213.87,
381644,84.0,962.2900000000003,100.0
38174962156174513,25.0,364.88000000000005,
38189307,20.0,178.82999999999998,
387561,18.0,237.66000000000005,
38927497,725.0,8274.179999999906,100.0
38y685ie4e89r78,13.0,64.96,
391204566,89.0,1316.4100000000003,100.0
3Ldota,6.0,29.98,100.0
3dster,113.0,1148.1900000000005,100.0
3eBpA,140.0,1049.2300000000005,100.0
3lAckCAt,114.0,866.3600000000004,100.0
3mike,106.0,1261.1200000000006,
3mperi0,41.0,444.52000000000015,
3nv3y,139.0,1875.6300000000008,
3ring,24.0,146.85,
3stantedja,6.0,14.99,
3teGZ_Rorschach,70.0,1123.4800000000002,100.0
3th3,66.0,225.85,89.0
3vild33d,41.0,490.70000000000016,
3xU,146.0,1463.1900000000005,100.0
3xc4l18urblue,76.0,802.4000000000004,
3xotic26,153.0,1954.730000000001,100.0
400primetopkeks,18.0,151.86999999999998,
4017209381,10.0,19.99,
402553929,54.0,507.73000000000013,100.0
4043RROR,91.0,889.4700000000003,100.0
404PlayerNotFound,86.0,983.3800000000005,
404ok4561687987879847,16.0,109.93999999999998,0.0
4131723314123,33.0,148.82000000000002,
414291,40.0,287.79999999999995,
41781029,51.0,367.67000000000013,100.0
4200769711,26.0,139.89,100.0
4201,31.0,483.7500000000001,
4202346,73.0,568.5900000000003,
420BlazeItMLG,23.0,24.98,67.0
420Blz,199.0,2353.4899999999975,100.0
420BlzeIT,40.0,224.83000000000007,100.0
420DankMasterKush420,102.0,861.9000000000004,100.0
420NigelGaming420,48.0,324.7700000000001,83.0
420_Blaze_It_Fgt,18.0,0.0,100.0
420believe,43.0,434.6800000000002,
420blazedondaweedguyz,29.0,239.85000000000005,
420blazefag00t,5.0,94.97,
420blazeitbitches,22.0,255.81,
420blaznnoscope,30.0,116.89999999999998,
420box,137.0,1494.0300000000007,
420cheekycunt,14.0,89.92999999999998,0.0
420dankmemer,53.0,471.63000000000017,
420fedora,92.0,1029.2600000000002,90.0
420gandalfyoda,36.0,504.73000000000013,
420haybale,18.0,87.93999999999998,
420lol420,31.0,74.94999999999999,
420slender,32.0,322.7900000000001,100.0
4234213234124,20.0,59.949999999999996,100.0
42456,9.0,45.940000000000005,100.0
42654264,24.0,207.94000000000003,100.0
427533764,1.0,0.0,
42978717,217.0,2630.5699999999965,
42rsfw42efwrwr,29.0,159.97,
4301945,13.0,63.93000000000001,100.0
4321louis,70.0,535.0100000000002,100.0
4324434,19.0,110.89999999999999,100.0
434238948,80.0,239.83000000000004,100.0
434546464,76.0,902.5500000000003,100.0
44196,140.0,1884.5300000000009,75.0
442199,4.0,14.99,
44290,34.0,195.87,100.0
4432XABLAU,204.0,1572.3700000000013,75.0
4454664,76.0,899.5000000000003,
4456829,36.0,290.85,
44579,47.0,390.81000000000006,100.0
44845991789,25.0,301.8,
44925952,10.0,79.94,
452213,3.0,14.99,
45236243663663643636,45.0,684.6300000000001,0.0
45378665,3.0,19.99,
4545451111,38.0,84.97,100.0
4545648,8.0,24.97,100.0
454575878752,12.0,18.98,
45514551,70.0,456.72000000000014,100.0
45544554455445,91.0,922.3800000000005,100.0
45622hd,3.0,14.98,
4563453467436754656677,8.0,107.96000000000001,100.0
4564231564,38.0,467.70000000000005,
4567cabi,45.0,378.70000000000016,
45685748567857,58.0,499.69000000000017,100.0
45748930,21.0,19.99,
45826755958,40.0,544.8100000000001,100.0
458768,64.0,448.6700000000002,
458769873675,7.0,117.94,
45883274,275.0,3059.9799999999905,
45979,3.0,0.0,
